Source,Category,Num_Devices,Devices
D1,D1_only,6,HoneyWell Thermostat_Mon(uk)|Ring Doorbell_Mon(uk)|Ring Doorbell_Mon(us)|Ring Doorbell_Our|Ring Doorbell_Our2|Ring Doorbell_YT
D1,D1_only,5,Bull Plug_IoTLifeCycle|JD Camera_IoTLifeCycle|Philips Bulb_Mon(us)|Philips Light_IoTLifeCycle|deebot_cleaner_IoTLifeCycle
D1,D1_only,5,Gosound Plug_IoTLifeCycle|Hongyar Plug_IoTLifeCycle|Lenovo Camera_IoTLifeCycle|Tuya Plug_IoTLifeCycle|Tuya Sensor_IoTLifeCycle
D1,D1_only,5,LG Smart TV_IoTLS|LG Smart TV_Mon(us)|LG Smart TV_Our|LG Smart TV_Our2|nVidia Shield_YT
D1,D1_only,4,Apple Home Pod_YT|Apple home Pod_IoTLS|Withings Aura smart sleep sensor_UNSW|Withings Smart scale_UNSW
D1,D1_only,4,Aqara Camera_IoTLifeCycle|Aqara Light_IoTLifeCycle|Aqara Plug_IoTLifeCycle|Sonos_YT
D1,D1_only,4,Hue Switch_IoT-Sentinel|Philips Bulb_Mon(us)|Philips Light_IoTLifeCycle|Wiz Light_IoTLifeCycle
D1,D1_only,3,Chamberlain myq Garage Opener_YT|Philips Bulb_Mon(us)|Philips Light_IoTLifeCycle
D1,D1_only,3,Huawei Camera_IoTLifeCycle|Philips Bulb_Mon(us)|Philips Light_IoTLifeCycle
D1,D1_only,2,Chamberlain myq Garage Opener_YT|HoneyWell Thermostat_Mon(uk)
D1,D1_only,2,Lenovo Camera_IoTLifeCycle|Logitech Logi Circle_YT
D1,D1_only,2,JD Camera_IoTLifeCycle|Xiaojingyu Clock_IoTLifeCycle
D2,D2_only,18,Amazon Echo Gen1_Mon(uk)|Amazon Echo Gen1_Mon(us)|Amazon Echo Gen1_Our|Amazon Echo Gen1_Our2|Amazon Echo Gen2_IoTLS|Amazon Echo Gen2_Mon(uk)|Amazon Echo Gen2_Mon(us)|Amazon Echo Gen3_IoTLS|Amazon Echo Gen3_Mon(uk)|Amazon Echo Gen3_Mon(us)|Amazon Echo Look_Our2|Amazon Fire TV_IoTLS|Amazon Fire TV_Mon(uk)|Amazon Fire TV_Mon(us)|Amazon Fire TV_YT|Amazon T-echodot_IoTLS|Cloud Camera_Mon(us)|Samsung Dryer_IoTLS
D2,D2_only,18,Amazon Echo Gen1_Mon(uk)|Amazon Echo Gen1_Mon(us)|Amazon Echo Gen1_Our2|Amazon Echo Gen1_UNSW|Amazon Echo Gen1_YT|Amazon Echo Gen2_IoTLS|Amazon Echo Gen2_Mon(uk)|Amazon Echo Gen2_Mon(us)|Amazon Echo Gen3_IoTLS|Amazon Echo Gen3_Mon(uk)|Amazon Echo Gen3_Mon(us)|Amazon Fire TV_IoTLS|Amazon Fire TV_Mon(uk)|Amazon Fire TV_Mon(us)|Amazon Fire TV_YT|Amazon T-echodot_IoTLS|Cloud Camera_Mon(us)|Samsung Dryer_IoTLS
D2,D2_only,17,Amazon Echo Gen1_Mon(uk)|Amazon Echo Gen1_Mon(us)|Amazon Echo Gen1_Our|Amazon Echo Gen2_IoTLS|Amazon Echo Gen2_Mon(uk)|Amazon Echo Gen2_Mon(us)|Amazon Echo Gen3_IoTLS|Amazon Echo Gen3_Mon(uk)|Amazon Echo Gen3_Mon(us)|Amazon Echo Look_Our2|Amazon Fire TV_IoTLS|Amazon Fire TV_Mon(uk)|Amazon Fire TV_Mon(us)|Amazon Fire TV_YT|Amazon T-echodot_IoTLS|Cloud Camera_Mon(us)|Samsung Dryer_IoTLS
